wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
ich erklar die am freitag , dem 17. dezemb unterbroch sitzungsperiod des europa parlament fur wiederaufgenomm , wunsch ihn nochmal all gut zum jahreswechsel und hoff , dass sie schon feri hatt .	i declar resum the session of the european parliament adjourn on friday 17 decemb 1999 , and i would like onc again to wish you a happi new year in the hope that you enjoy a pleasant festiv period .	0-0 1-1 9-2 11-3 10-4 11-5 11-6 12-7 13-8 10-9 3-10 4-11 7-12 8-13 30-14 26-15 24-16 0-17 17-18 17-19 19-20 19-21 16-22 17-23 18-24 22-25 23-26 23-27 23-28 22-29 22-30 25-31 27-32 28-33 30-34 32-35 30-36 30-37 23-38 32-39	-165.776887863
wie sie feststell konnt , ist der gefurchtet " millenium-bug " nicht eingetret . doch sind burg einig uns mitgliedstaat opf von schrecklich naturkatastroph geword .	although , as you will have seen , the dread ' millennium bug ' fail to materialis , still the peopl in a number of countri suffer a seri of natur disast that truli were dread .	7-0 4-1 0-2 1-3 1-4 2-5 2-6 4-7 6-8 7-9 8-10 7-11 7-12 8-13 7-14 4-15 7-16 4-17 7-18 6-19 16-20 4-21 5-22 7-23 6-24 7-25 7-26 5-27 7-28 21-29 23-30 23-31 4-32 7-33 7-34 7-35 13-36	-173.061623186
im parlament besteht der wunsch nach ein aussprach im verlauf dies sitzungsperiod in den nach tag .	you have request a debat on thi subject in the cours of the next few day , dure thi part-sess .	4-0 12-1 4-2 6-3 7-4 8-5 10-6 11-7 12-8 13-9 9-10 10-11 13-12 14-13 15-14 15-15 8-16 9-17 10-18 11-19 16-20	-81.6362056173
heut mocht ich sie bitt - das ist auch der wunsch einig kolleginn und kolleg - , all opf der sturm , insbesond in den verschied land der europa union , in ein schweigeminut zu gedenk .	in the meantim , i should like to observ a minut ' s silenc , as a number of member have request , on behalf of all the victim concern , particularli those of the terribl storm , in the variou countri of the european union .	23-0 24-1 20-2 21-3 2-4 1-5 1-6 34-7 33-8 32-9 33-10 33-11 33-12 33-13 30-14 30-15 32-16 11-17 9-18 14-19 11-20 4-21 5-22 19-23 20-24 19-25 17-26 17-27 18-28 22-29 21-30 22-31 17-32 19-33 19-34 20-35 20-36 21-37 23-38 24-39 25-40 26-41 27-42 27-43 28-44 29-45 36-46	-198.404893128
ich bitt sie , sich zu ein schweigeminut zu erheb .	pleas rise , then , for thi minut ' s silenc .	1-0 7-1 3-2 7-3 3-4 5-5 6-6 7-7 7-8 7-9 7-10 10-11	-60.0939796862
( das parlament erhebt sich zu ein schweigeminut . )	( the hous rose and observ a minut ' s silenc )	0-0 1-1 2-2 3-3 4-4 7-5 6-6 7-7 7-8 7-9 7-10 9-11	-41.0067885724
frau prasidentin , zur geschaftsordn .	madam presid , on a point of order .	1-0 1-1 2-2 3-3 3-4 4-5 3-6 4-7 5-8	-25.729288775
wie sie sich aus der press und dem fernseh wiss , gab es in sri lanka mehr bombenexplosion mit zahlreich tot .	you will be awar from the press and televis that there have been a number of bomb explos and kill in sri lanka .	1-0 2-1 2-2 9-3 3-4 4-5 5-6 6-7 8-8 10-9 11-10 17-11 17-12 21-13 19-14 21-15 17-16 17-17 18-18 20-19 13-20 14-21 14-22 21-23	-97.8211957259
zu den attentatsopf , die es in jung zeit in sri lanka zu beklag gab , zahlt auch herr kumar ponnambalam , der dem europa parlament erst vor wenig monat ein besuch abgestattet hatt .	one of the peopl assassin veri recent in sri lanka wa mr kumar ponnambalam , who had visit the european parliament just a few month ago .	16-0 1-1 1-2 2-3 2-4 2-5 7-6 9-7 10-8 10-9 14-10 18-11 2-12 2-13 3-14 2-15 32-16 31-17 23-18 24-19 25-20 26-21 30-22 28-23 29-24 27-25 34-26	-106.90300291
war es angemess , wenn sie , frau prasidentin , der prasidentin von sri lanka in ein schreib das bedau des parlament zum gewaltsam tod von herrn ponnambalam und and burg von sri lanka ubermitteln und sie aufford wurd , all in ihr kraft stehend zu tun , um nach ein friedlich losung dies sehr schwierig situation zu such ?	would it be appropri for you , madam presid , to write a letter to the sri lankan presid express parliament 's regret at hi and the other violent death in sri lanka and urg her to do everyth she possibl can to seek a peac reconcili to a veri difficult situat ?	0-0 1-1 1-2 2-3 3-4 5-5 6-6 8-7 8-8 9-9 9-10 17-11 16-12 17-13 9-14 10-15 13-16 14-17 11-18 27-19 21-20 20-21 19-22 44-23 27-24 28-25 28-26 29-27 23-28 24-29 25-30 32-31 32-32 35-33 37-34 42-35 45-36 46-37 44-38 27-39 27-40 44-41 45-42 58-43 50-44 51-45 27-46 49-47 50-48 54-49 55-50 56-51 59-52	-223.564074639
